date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:50	77486/77486	---M-Z	200	added ('OK')	text/html	etag:W/%221787b492461e1205fb2dab1b74dd81c8%22	https://www.focusbuildinginspections.com/	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/index.html	(from )
15:01:50	393/393	---M-Z	200	added ('OK')	text/plain	date:Mon,%2019%20Aug%202024%2017:47:31%20GMT	https://www.focusbuildinginspections.com/robots.txt		(from )
15:01:50	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2019%20Aug%202024%2019:01:51%20GMT	http://static1.squarespace.com/static/5d001d104818a50001b97de8/t/65a5be630885b56c298beb8d/1705360995893/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA%2C+ARKANSAS%2C+KANSAS%2C+MISSOURI+-+FOOTER+IMAGE.png?format=1500w	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/static/5d001d104818a50001b97de8/t/65a5be630885b56c298beb8d/1705360995893/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA,+ARKANSAS,+KANSAS,+MISSOURI+-+FOOTER+IMAGE.026f7	(from https://www.focusbuildinginspections.com/)
15:01:51	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.focusbuildinginspections.com/)
15:01:52	20898/20898	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202024%2019:01:51%20GMT	http://use.typekit.net/ik/6pVfswiqmVmPhQdIQ0HAsEG8naMRDIJ0Q1UP_6ecTDvfez3gfFHN4UJLFRbh52jhWDmqw2MUZ2I3F26U5eIuw2M3wAJoFhs85gGMJ6iRjAUCiAoyJyFciWsuScIlSYbljhN0Zem0ShmqJ68ciWsuScIlSYb7fbKbwgMMeMw6MKG4fwXVIMMjgfMfH6qJD3vbMg6YJMJ7fbR52UMMeMt6MKG4fFMVIMMjIPMfH6qJxaSbMs6BJMJ7fbKgpgMgeMS6MKG4fJsmIMJjgfMfH6qJxubbMy6BJMJ7fbRKpsMfeMj6MKG4fJBmIMJjgkMfH6qJyu9bMy6JJMJ7fbKBmsMfeMt6MKG4fJgmIMJj2kMfH6qJ689bMy6sJMHbMiVYlOJe.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/use.typekit.net/ik/6pVfswiqmVmPhQdIQ0HAsEG8naMRDIJ0Q1UP_6ecTDvfez3gfFHN4UJLFRbh52jhWDmqw2MUZ2I3F26U5eIuw2M3wAJoFhs85gGMJ6iRjAUCiAoyJyFciWsuScIlSYbljhN0Zem0ShmqJ68ciWsuScIlSYb7fbKbwgMMe	(from https://www.focusbuildinginspections.com/)
15:01:54	46612/46612	---M-Z	200	added ('OK')	text/javascript	etag:%224db0428c52cb2a0d394b3d61c20f69ac%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-dd77f2cb9b0e8e41b5ea-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-dd77f2cb9b0e8e41b5ea-min.en-US.js	(from https://www.focusbuildinginspections.com/)
15:01:55	90771/90771	---M-Z	200	added ('OK')	text/javascript	etag:%22b4a755c7e39d57314f0f0e17de3a6f69%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-15305921bb94c505cd92-min.en-US.js	(from https://www.focusbuildinginspections.com/)
15:01:57	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.focusbuildinginspections.com/)
15:02:07	246250/246250	---M-Z	200	added ('OK')	text/javascript	etag:%22f52dee3814f1fd8bd40fd36b55bc291e%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0f51b06fac4ba1f7c845-min.en-US.js	(from https://www.focusbuildinginspections.com/)
15:02:10	41137/41137	---M-Z	200	added ('OK')	text/javascript	etag:%22854177e056016edbe784187f301bb19b%22	http://assets.squarespace.com/universal/scripts-compressed/performance-cb00a133d860215d5111-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/performance-cb00a133d860215d5111-min.en-US.js	(from https://www.focusbuildinginspections.com/)
